framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram(mb),time(ms),proofSize,nbPhysicalCores,nbLogicalCores,count,cpu
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,compile,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,witness,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics

circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,prove,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,verify,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,compile,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,witness,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics

circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,prove,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,verify,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,compile,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,witness,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics

circom/snarkjs,circuit,groth16,bn128,sudoku,inputs/toy/sudoku.input.json,prove,1053,81,81,,,,1,1,1,AMD Ryzen 7 4700U with Radeon Graphics
